2011-09-04 14:52:45 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:46 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
